scenario,runId,termChanges,uniqueLeaders,firstLeaderTime,splitVoteCount,maxSimultaneousCandidates,crashEvents,recoveryEvents,reElections,avgLeaderTenure
Normal Startup,1,18,5,0.19811264381931534,48,6,6,5,13,3.375485745006802
Split Vote,1,34,6,0.4523901308449867,138,5,7,6,15,2.441695094626946
Frequent Crashes,1,51,7,0.6954713366240121,219,6,10,9,29,2.5345765832039198
Normal Startup,2,31,6,0.21514356452635358,151,5,6,5,13,3.333995394899913
Split Vote,2,24,6,0.12950777777381725,52,6,6,6,17,2.9283056253013044
Frequent Crashes,2,63,7,1.1652046070333864,294,6,10,9,49,1.2003638018565566
Normal Startup,3,28,7,0.7192226031242865,118,6,7,6,20,1.8874315007185447
Split Vote,3,31,6,0.7795407085180596,102,5,6,6,15,3.5998140504065597
Frequent Crashes,3,62,7,1.0397353147735617,401,7,11,10,35,1.694047896815608
Normal Startup,4,25,7,0.3538444760988173,57,4,7,6,21,1.9546810912448471
Split Vote,4,27,6,1.5025358346791375,126,5,6,6,16,1.9817212127356372
Frequent Crashes,4,67,7,0.28150170505564653,290,6,10,10,37,2.127973234445887
Normal Startup,5,17,6,1.3710356724167736,107,5,5,5,10,4.793470024212852
Split Vote,5,34,6,0.9763175379584176,194,5,6,5,13,3.10214633050225
Frequent Crashes,5,63,7,0.0723377369624067,368,6,10,9,28,2.5622782672324274
Normal Startup,6,23,7,0.0910479366514528,66,4,7,7,20,1.656272805097978
Split Vote,6,34,6,4.123176362814709,175,5,5,4,12,3.831988524999666
Frequent Crashes,6,60,7,0.3627220523281727,305,6,11,10,44,1.3404808014186969
Normal Startup,7,23,7,0.11195754482603953,119,7,6,5,16,3.1544150189354054
Split Vote,7,26,5,0.736433068144108,128,6,7,6,11,3.2139969729728373
Frequent Crashes,7,53,7,0.3464043778633106,273,7,10,9,26,2.3931485768123424
Normal Startup,8,29,5,1.1668503958955239,131,6,7,6,15,2.8175406199382853
Split Vote,8,35,5,0.9632529712052263,159,6,6,5,16,2.6202082601918164
Frequent Crashes,8,66,7,0.2669697423289188,244,6,10,10,39,1.9861780346180986
Normal Startup,9,23,6,0.4290124235499178,114,6,4,3,14,4.3813452591186515
Split Vote,9,33,6,0.21176318473698694,174,5,7,6,19,1.7828210683089132
Frequent Crashes,9,56,7,0.22721828061222216,241,6,10,9,35,1.4865404670146747
Normal Startup,10,21,7,0.20279413586210776,47,5,6,5,16,3.0335305537511283
Split Vote,10,18,5,1.432584388804487,81,6,5,4,10,4.208783742730641
Frequent Crashes,10,75,7,0.24891184219908286,342,6,11,10,42,1.4145871886976844
Normal Startup,11,15,6,0.2541924858434245,63,5,6,5,14,3.1620993084673823
Split Vote,11,27,6,0.616784555546342,79,5,7,6,21,1.8764078291570319
Frequent Crashes,11,82,7,0.2731790422812633,266,7,11,10,51,0.8718772945735429
Normal Startup,12,39,7,0.08753856258847319,196,5,7,6,21,1.7916627589313427
Split Vote,12,23,5,0.4981018247361479,88,5,5,4,13,3.8913803502262554
Frequent Crashes,12,59,7,0.30482227559458575,234,6,11,10,46,1.437841132792032
Normal Startup,13,24,7,0.5519794469485981,123,7,7,6,20,1.7052771521651655
Split Vote,13,32,6,1.9620540600566405,170,6,6,5,15,2.47742532207031
Frequent Crashes,13,70,7,0.24708913621209386,281,6,11,10,47,1.3463128857418651
Normal Startup,14,37,7,1.5372466095677664,215,6,6,5,17,3.186908252204264
